job_id,title,company,city,contract_type,seniority,salary_min_eur,salary_max_eur,remote_policy,skills,posted_date
JOB0042,Data Scientist,GreenGrid,Paris,CDI,Junior,42441,53177,Remote,"Dataiku, NumPy, Pandas, Python, SQL, Scikit-learn, dbt",2026-03-11
JOB0043,Data Scientist,MobilityX,Grenoble,CDD,Mid,48988,57841,Remote,"Dataiku, NumPy, Pandas, Python, SQL",2026-04-08
JOB0044,Data Engineer,Lyon Analytics,Lyon,CDI,Mid,47906,58441,On-site,"Airflow, Docker, GCP, Looker, SQL, Snowflake, Spark",2026-03-03
JOB0045,BI Analyst,HexaData,Lyon,CDD,Mid,42291,52122,Remote,"Excel, Looker, Power BI, SQL, Spark, Tableau",2026-05-29
JOB0046,Data Engineer,Lyon Analytics,Lyon,CDI,Senior,58508,65217,Hybrid,"AWS, Airflow, GCP, SQL, Spark",2026-01-31
JOB0047,BI Analyst,RetailFlow,Remote France,CDI,Junior,34050,42016,On-site,"Excel, Looker, Power BI, SQL, Tableau",2026-03-19
JOB0048,Data Analyst,MobilityX,Lyon,CDI,Senior,51533,57926,Hybrid,"GCP, Git, Looker, Python, SQL, Tableau",2026-03-29
JOB0049,Data Analyst,Lyon Analytics,Paris,Stage,Mid,41535,48817,On-site,"Excel, Looker, Power BI, Python, SQL, Tableau",2026-05-23
JOB0050,BI Analyst,IsCool,Lille,Alternance,Junior,32280,39396,On-site,"Dataiku, Excel, Looker, Power BI, Python, SQL, Tableau",2026-02-24
JOB0051,Data Analyst,MobilityX,Paris,CDI,Mid,42282,46303,On-site,"Excel, GCP, Looker, Power BI, Python, SQL, Tableau",2026-03-01
JOB0052,Analytics Engineer,IsCool,Bordeaux,CDI,Mid,43620,51102,On-site,"Excel, Looker, Snowflake, dbt",2026-02-12
JOB0053,BI Analyst,Junot,Lille,Alternance,Senior,48597,53615,Hybrid,"Excel, Looker, Power BI, SQL, Tableau",2026-03-24
JOB0054,Data Scientist,MobilityX,Paris,CDI,Mid,51712,60521,Remote,"Dataiku, Pandas, Python",2026-04-24
JOB0055,Analytics Engineer,IsCool,Paris,CDI,Mid,50028,61966,On-site,"Azure, BigQuery, Git, Python",2026-03-26
JOB0056,Data Engineer,IsCool,Lyon,CDI,Mid,51230,59736,Hybrid,"Airflow, Azure, GCP, SQL",2026-05-12
JOB0057,BI Analyst,HexaData,Paris,Alternance,Mid,40444,45980,Remote,"Excel, Looker, Power BI, SQL, Tableau",2026-02-03
JOB0058,Analytics Engineer,Lyon Analytics,Paris,CDI,Junior,43161,52148,On-site,"Looker, Power BI, Python, SQL, Scikit-learn, dbt",2026-04-29
JOB0059,ML Engineer,Lyon Analytics,Lille,CDI,Senior,60390,68558,Remote,"AWS, Docker, Excel, Git, NumPy, Python, Spark",2026-05-11
JOB0060,BI Analyst,MobilityX,Paris,CDI,Mid,43399,50183,Remote,"Excel, Looker, Power BI, SQL, Tableau",2026-05-04
JOB0061,Data Engineer,RetailFlow,Lyon,CDI,Mid,47636,58759,Remote,"AWS, SQL, Snowflake, dbt",2026-05-02
JOB0062,Data Scientist,DataNova,Bordeaux,CDI,Mid,48341,53587,Hybrid,"Dataiku, Docker, NumPy, Pandas, Python, SQL, Scikit-learn",2026-02-09
JOB0063,Data Analyst,GreenGrid,Bordeaux,CDI,Mid,40256,49579,On-site,"Git, Power BI, Python, Tableau",2026-01-18
JOB0064,Data Analyst,HexaData,Toulouse,CDI,Junior,29740,37295,On-site,"Looker, SQL, Tableau",2026-01-12
JOB0065,Data Engineer,DataNova,Paris,CDI,Mid,50000,58351,On-site,"Airflow, Git, Python, SQL, Snowflake, Spark, dbt",2026-04-29
JOB0066,Data Scientist,HexaData,Lyon,CDI,Senior,56811,68193,Remote,"Dataiku, NumPy, Python, SQL, Scikit-learn, Snowflake",2026-04-19
JOB0067,Data Scientist,Junot,Lyon,CDI,Senior,56958,61831,Remote,"Dataiku, GCP, NumPy, Pandas, Scikit-learn",2026-04-12
JOB0068,Data Analyst,Junot,Lyon,CDI,Mid,38401,49860,Hybrid,"Excel, Looker, Power BI, Python, SQL, Tableau",2026-04-23
JOB0069,Data Analyst,HexaData,Paris,CDI,Senior,52676,62799,Hybrid,"Excel, Looker, Power BI, Python, SQL, Tableau",2026-03-17
JOB0070,BI Analyst,HexaData,Paris,CDI,Senior,50153,60331,Remote,"Excel, Power BI, SQL, Tableau",2026-02-01
JOB0071,Data Engineer,IsCool,Toulouse,CDI,Mid,49230,60932,Remote,"Azure, GCP, Python, SQL, Spark, dbt",2026-04-29
JOB0072,Analytics Engineer,FinanceLab,Paris,CDI,Junior,38304,44797,Remote,"BigQuery, Git, Python, SQL, Snowflake, dbt",2026-02-09
JOB0073,Analytics Engineer,RetailFlow,Toulouse,Alternance,Mid,44291,48559,Remote,"BigQuery, Git, Looker, Snowflake, dbt",2026-04-02
JOB0074,Data Analyst,DataNova,Paris,Stage,Senior,53725,58475,Remote,"Looker, Python, SQL, Spark, Tableau",2026-02-22
JOB0075,Data Analyst,GreenGrid,Nantes,CDI,Junior,30908,37599,Hybrid,"Looker, Power BI, Python, SQL",2026-02-14
JOB0076,Data Analyst,IsCool,Marseille,CDI,Mid,43458,49407,Remote,"Excel, Looker, Power BI, SQL, Scikit-learn, Tableau",2026-01-17
JOB0077,Data Engineer,MobilityX,Bordeaux,CDI,Junior,40127,45941,Hybrid,"Python, SQL, Snowflake, Spark, dbt",2026-04-20
JOB0078,Data Scientist,RetailFlow,Lyon,Alternance,Junior,36661,43299,Hybrid,"BigQuery, Pandas, Python, SQL, Scikit-learn, Snowflake",2026-05-16
JOB0079,Data Analyst,FinanceLab,Lyon,CDI,Mid,38937,49923,Hybrid,"Docker, Excel, Looker, Python, Tableau",2026-01-25
JOB0080,Data Engineer,RetailFlow,Paris,CDI,Senior,62626,74187,On-site,"AWS, Docker, Python, SQL, Snowflake, dbt",2026-05-23
JOB0081,Data Analyst,GreenGrid,Remote France,CDI,Mid,40365,47261,On-site,"Excel, Looker, Power BI, Python, SQL, Tableau",2026-02-09
JOB0082,Data Scientist,DataNova,Paris,CDI,Senior,59011,63952,Hybrid,"AWS, NumPy, Pandas, Python, SQL, Scikit-learn",2026-03-21
JOB0083,Analytics Engineer,GreenGrid,Paris,CDI,Junior,43384,50667,On-site,"Looker, SQL, dbt",2026-04-07
JOB0084,Data Engineer,HexaData,Paris,CDI,Mid,54363,66075,Hybrid,"Airflow, Power BI, Python, SQL",2026-04-19
JOB0085,Data Engineer,Lyon Analytics,Paris,CDI,Mid,48932,55759,Hybrid,"AWS, Docker, GCP, Python, SQL, Spark, dbt",2026-01-15
JOB0086,Data Analyst,DataNova,Paris,CDI,Junior,35093,41464,Hybrid,"Excel, Looker, Power BI, SQL, Tableau",2026-05-17
JOB0087,Data Scientist,RetailFlow,Lyon,Alternance,Senior,53590,60842,Remote,"Dataiku, Python, Scikit-learn",2026-04-20
JOB0088,Data Scientist,FinanceLab,Toulouse,CDI,Junior,35170,47085,On-site,"Dataiku, NumPy, Pandas, SQL, Scikit-learn",2026-03-04
JOB0089,Data Engineer,GreenGrid,Paris,CDI,Senior,63109,69890,On-site,"Airflow, Docker, Looker, Python, Spark, Tableau",2026-03-31
JOB0090,Data Engineer,MobilityX,Remote France,CDI,Junior,36842,42041,Hybrid,"Airflow, Python, SQL, Spark, dbt",2026-05-25
JOB0091,BI Analyst,HexaData,Paris,Alternance,Mid,45204,54320,Remote,"Excel, GCP, Looker, Power BI, SQL, Tableau",2026-01-15
JOB0092,Data Engineer,GreenGrid,Paris,CDI,Junior,43020,53833,Remote,"AWS, Docker, SQL, Snowflake, Spark",2026-01-11
JOB0093,Data Engineer,DataNova,Bordeaux,CDI,Mid,47896,56003,On-site,"Airflow, GCP, Looker, Power BI, Python, Snowflake",2026-03-05
JOB0094,Data Scientist,RetailFlow,Remote France,CDI,Mid,45981,53035,On-site,"Azure, Dataiku, NumPy, Pandas, Power BI, Python, Scikit-learn",2026-05-23
JOB0095,Data Scientist,DataNova,Paris,CDD,Mid,51937,63090,Remote,"NumPy, Pandas, Python, SQL, Scikit-learn",2026-01-22
JOB0096,Data Engineer,DataNova,Paris,Alternance,Senior,62489,72246,On-site,"AWS, Docker, GCP, Python",2026-03-29
JOB0097,ML Engineer,FinanceLab,Lyon,CDI,Junior,42632,49055,On-site,"Azure, Excel, Git, Python, Spark",2026-02-11
JOB0098,Data Analyst,HexaData,Toulouse,CDI,Senior,51907,59492,Remote,"Dataiku, Excel, Power BI, Tableau",2026-04-25
JOB0099,Data Analyst,DataNova,Paris,Stage,Mid,42589,49602,Hybrid,"Excel, Looker, Power BI, Python, SQL, Tableau",2026-01-14
JOB0100,Data Scientist,GreenGrid,Marseille,CDI,Junior,39226,50198,On-site,"Docker, Pandas, Python, SQL",2026-04-22
JOB0101,Data Analyst,FinanceLab,Grenoble,Alternance,Senior,46218,53616,On-site,"Power BI, Python, Tableau",2026-04-06
JOB0102,Data Analyst,MobilityX,Paris,CDI,Mid,43746,54228,Remote,"Excel, Git, Looker, Power BI, SQL",2026-01-02
JOB0103,Analytics Engineer,FinanceLab,Paris,CDI,Junior,43957,52944,Remote,"BigQuery, Git, Looker, Python, SQL, dbt",2026-04-28
JOB0104,Data Analyst,RetailFlow,Marseille,CDI,Mid,42176,50397,On-site,"Excel, Looker, Power BI, Python",2026-05-27
JOB0105,Data Engineer,HexaData,Toulouse,CDI,Senior,53554,65364,Remote,"AWS, GCP, NumPy, Pandas, Python",2026-01-05
JOB0106,Data Engineer,MobilityX,Paris,CDI,Mid,48849,59169,Remote,"AWS, Airflow, Docker, Python, Snowflake, Spark, dbt",2026-02-16
JOB0107,BI Analyst,FinanceLab,Paris,CDD,Mid,42403,48054,Remote,"Looker, Power BI, SQL",2026-05-02
JOB0108,Data Analyst,RetailFlow,Nantes,CDI,Mid,43396,47787,On-site,"Docker, Excel, Looker, NumPy, Power BI, SQL, Tableau",2026-05-08
JOB0109,Data Scientist,IsCool,Paris,Alternance,Junior,39676,49632,Hybrid,"Dataiku, NumPy, Pandas, Python, SQL, Scikit-learn",2026-03-17
JOB0110,Data Engineer,FinanceLab,Lille,CDI,Mid,46879,54541,Hybrid,"AWS, Airflow, Docker, Power BI, Python",2026-05-12
JOB0111,BI Analyst,Junot,Toulouse,Stage,Junior,32977,42531,Remote,"Excel, Looker, NumPy, Power BI, SQL, Tableau",2026-02-09
JOB0112,Data Scientist,DataNova,Remote France,CDI,Mid,47701,52828,Hybrid,"Dataiku, NumPy, Pandas, Python, Scikit-learn",2026-05-13
JOB0113,Data Engineer,MobilityX,Lyon,CDI,Junior,40655,46412,On-site,"AWS, GCP, Python, SQL, dbt",2026-03-23
JOB0114,Data Scientist,IsCool,Toulouse,CDI,Junior,37457,48431,On-site,"Dataiku, Pandas, SQL, Scikit-learn",2026-02-05
JOB0115,Data Analyst,GreenGrid,Lyon,CDI,Mid,41828,52411,Hybrid,"Excel, Git, Looker, Python, SQL",2026-04-15
JOB0116,BI Analyst,GreenGrid,Paris,Stage,Mid,43686,51502,On-site,"Excel, Looker, Power BI, SQL, Tableau",2026-03-19
JOB0117,Data Analyst,HexaData,Paris,CDD,Mid,45250,56581,Remote,"Excel, Power BI, Python, SQL, Tableau",2026-05-17
JOB0118,Data Analyst,Lyon Analytics,Lille,CDI,Mid,38402,47798,Remote,"AWS, Looker, Power BI, Python, SQL, Snowflake, Tableau",2026-04-17
JOB0119,Data Scientist,Junot,Paris,Alternance,Mid,52258,64094,On-site,"Dataiku, NumPy, Pandas, SQL, Scikit-learn",2026-04-23
JOB0120,Data Engineer,Lyon Analytics,Lyon,CDI,Junior,42884,49499,Hybrid,"AWS, Airflow, Azure, GCP, Snowflake, Spark, Tableau",2026-02-01
JOB0121,Data Analyst,MobilityX,Paris,CDI,Junior,36146,47225,Remote,"Excel, Looker, Power BI, Python, SQL, Tableau",2026-04-30
JOB0122,Data Engineer,MobilityX,Paris,CDI,Senior,61140,68885,Hybrid,"AWS, Docker, Git, Python, dbt",2026-05-18
JOB0123,Data Analyst,FinanceLab,Paris,CDI,Junior,35996,46253,Remote,"Excel, GCP, Looker, Power BI, Python, SQL, Tableau",2026-04-26
JOB0124,BI Analyst,Lyon Analytics,Paris,Stage,Mid,40973,46027,Remote,"Excel, Pandas, Power BI, Tableau",2026-05-11
JOB0125,Data Engineer,HexaData,Paris,CDI,Mid,51880,60134,Remote,"AWS, Airflow, Dataiku, GCP, SQL, Snowflake, Spark",2026-03-28
JOB0126,Data Engineer,FinanceLab,Lyon,CDI,Mid,48890,59572,Remote,"Docker, GCP, Snowflake",2026-03-20
JOB0127,BI Analyst,Lyon Analytics,Nantes,CDI,Junior,31887,38062,On-site,"Excel, Looker, Power BI, SQL",2026-05-27
JOB0128,ML Engineer,GreenGrid,Paris,CDI,Junior,46240,53622,On-site,"AWS, Excel, Git, Python, Scikit-learn, Spark",2026-05-24
JOB0129,Data Engineer,Lyon Analytics,Toulouse,CDI,Junior,37418,45183,Hybrid,"AWS, Airflow, Docker, GCP, Git, Snowflake",2026-05-23
JOB0130,Data Analyst,GreenGrid,Remote France,Stage,Mid,42774,48472,Hybrid,"Excel, Looker, Power BI, Python, SQL, Tableau",2026-04-12
JOB0131,BI Analyst,Lyon Analytics,Remote France,Alternance,Junior,30356,42181,On-site,"Excel, Git, Looker, Tableau",2026-05-18
JOB0132,Data Analyst,Junot,Lyon,CDI,Junior,36069,44876,On-site,"Excel, Looker, Power BI, SQL",2026-04-16
JOB0133,Data Engineer,HexaData,Lyon,CDI,Junior,41508,53119,Hybrid,"AWS, Docker, GCP, dbt",2026-03-15
JOB0134,Data Scientist,FinanceLab,Grenoble,CDI,Mid,47383,57434,Hybrid,"Dataiku, SQL, Scikit-learn",2026-02-17
JOB0135,Analytics Engineer,MobilityX,Remote France,Alternance,Senior,51075,57519,On-site,"BigQuery, Git, Looker, Python",2026-05-10
JOB0136,Data Engineer,FinanceLab,Paris,CDI,Junior,43759,53069,Hybrid,"AWS, Airflow, Docker, Python, Snowflake, dbt",2026-05-12
JOB0137,Data Engineer,RetailFlow,Paris,CDI,Senior,60911,67561,Hybrid,"AWS, Python, SQL, Spark, dbt",2026-05-30
JOB0138,BI Analyst,HexaData,Paris,CDI,Mid,40508,49978,Remote,"Excel, Looker, SQL, Tableau",2026-01-31
JOB0139,Data Scientist,GreenGrid,Remote France,CDI,Junior,36094,44011,Remote,"BigQuery, Git, NumPy, Pandas, SQL, Scikit-learn",2026-02-25
JOB0140,BI Analyst,RetailFlow,Toulouse,CDI,Mid,40304,47963,Remote,"Excel, Looker, Power BI, SQL, Tableau",2026-04-24
JOB0141,Data Analyst,Junot,Paris,CDI,Junior,37180,44829,Remote,"Excel, Looker, Snowflake, Tableau",2026-04-29
JOB0142,Data Scientist,GreenGrid,Paris,CDI,Junior,39024,49133,On-site,"Dataiku, NumPy, Power BI, Python, SQL",2026-01-18
JOB0143,ML Engineer,RetailFlow,Lyon,CDI,Junior,43109,53382,On-site,"AWS, BigQuery, Docker, Excel, Git, Python, Scikit-learn, Spark",2026-02-15
JOB0144,ML Engineer,Lyon Analytics,Paris,CDI,Senior,62028,72222,Hybrid,"AWS, NumPy, Scikit-learn, Spark",2026-03-30
JOB0145,Data Analyst,Junot,Paris,Alternance,Mid,41263,51894,On-site,"Docker, Excel, Looker, Power BI, Python, SQL, Tableau",2026-01-12
JOB0146,Data Engineer,HexaData,Paris,CDI,Senior,57462,62609,On-site,"AWS, Airflow, Docker, Spark, dbt",2026-05-14
JOB0147,Data Analyst,GreenGrid,Paris,CDI,Senior,56022,67489,Hybrid,"Looker, NumPy, Python, SQL, Tableau",2026-04-17
JOB0148,Data Engineer,GreenGrid,Paris,CDI,Mid,49974,60931,Hybrid,"AWS, Airflow, Spark, dbt",2026-04-17
JOB0149,Data Scientist,IsCool,Paris,CDI,Junior,44297,48944,On-site,"Dataiku, NumPy, Pandas, Python, SQL, Scikit-learn",2026-05-31
JOB0150,BI Analyst,MobilityX,Lyon,CDI,Senior,48727,55210,On-site,"Looker, Power BI, Tableau",2026-02-22
JOB0151,Data Engineer,MobilityX,Paris,CDI,Junior,43819,52190,Hybrid,"Airflow, GCP, Snowflake, Spark, Tableau, dbt",2026-02-22
JOB0152,Data Engineer,FinanceLab,Paris,CDI,Junior,41195,45327,Remote,"AWS, Airflow, Docker, SQL, Snowflake, Spark",2026-03-04
JOB0153,Data Engineer,DataNova,Toulouse,CDI,Junior,40002,51919,Remote,"Airflow, BigQuery, Docker, GCP, Git, SQL, Snowflake, Spark",2026-01-16
JOB0154,Data Scientist,DataNova,Marseille,CDI,Senior,52397,62658,On-site,"NumPy, SQL, Scikit-learn",2026-02-25
JOB0155,Data Engineer,Junot,Paris,CDI,Mid,53050,64527,Remote,"Docker, GCP, Python, Snowflake, Spark, dbt",2026-03-12
JOB0156,Data Scientist,GreenGrid,Paris,CDI,Mid,50527,61131,Hybrid,"Dataiku, NumPy, Python, SQL",2026-04-01
JOB0157,Data Analyst,FinanceLab,Paris,CDI,Mid,45628,51620,Remote,"NumPy, Power BI, Python, SQL, Tableau",2026-05-02
JOB0158,Data Analyst,HexaData,Paris,CDI,Mid,44554,53837,On-site,"Git, Looker, Power BI, Python, SQL, Snowflake, Tableau",2026-01-20
JOB0159,Data Scientist,HexaData,Paris,CDI,Mid,48469,60077,On-site,"NumPy, Pandas, Python, SQL, Scikit-learn",2026-05-25
JOB0160,Data Analyst,FinanceLab,Marseille,CDI,Senior,48717,55861,On-site,"Looker, Power BI, Python, SQL",2026-01-20
JOB0161,Data Engineer,RetailFlow,Nantes,Stage,Mid,50336,57009,Remote,"GCP, Spark, dbt",2026-04-07
JOB0162,Data Engineer,FinanceLab,Toulouse,CDI,Junior,41067,47486,Hybrid,"Airflow, Excel, GCP, SQL, Snowflake",2026-04-03
JOB0163,Data Analyst,FinanceLab,Paris,CDI,Mid,43209,48046,On-site,"BigQuery, Excel, Looker, Python, SQL, Tableau",2026-01-07
JOB0164,Data Analyst,FinanceLab,Lyon,CDI,Mid,41155,45256,On-site,"Looker, Power BI, Python, SQL, Tableau, dbt",2026-02-05
JOB0165,Data Analyst,MobilityX,Paris,CDI,Junior,35260,42709,On-site,"Airflow, Excel, Git, Power BI, Python, SQL, Tableau",2026-02-04
JOB0166,Data Engineer,RetailFlow,Remote France,CDI,Mid,46699,54305,On-site,"AWS, Airflow, GCP, Git, Snowflake, Spark",2026-04-12
JOB0167,ML Engineer,Lyon Analytics,Paris,CDI,Mid,57717,68122,Remote,"AWS, Docker, Git, Scikit-learn, Tableau",2026-05-20
JOB0168,Data Analyst,HexaData,Nantes,CDI,Mid,42802,48519,Remote,"Excel, GCP, Looker, Power BI, Python, SQL, Spark, Tableau",2026-02-09
JOB0169,Data Scientist,IsCool,Bordeaux,CDI,Senior,55925,64694,On-site,"BigQuery, Dataiku, NumPy, Pandas, Power BI, Python, SQL, Scikit-learn",2026-04-01
JOB0170,Data Analyst,GreenGrid,Lille,CDI,Mid,42298,49571,Remote,"Excel, Looker, Python, SQL, Tableau",2026-05-13
JOB0171,Data Scientist,IsCool,Toulouse,CDI,Mid,46793,57120,On-site,"NumPy, Pandas, Python, Scikit-learn",2026-02-06
JOB0172,Data Engineer,HexaData,Paris,Alternance,Mid,50853,58753,On-site,"Airflow, GCP, Snowflake",2026-01-30
JOB0173,Data Analyst,Lyon Analytics,Paris,CDI,Senior,56066,62064,Hybrid,"Docker, Excel, Power BI, Python, Tableau",2026-02-17
JOB0174,Data Analyst,DataNova,Toulouse,CDI,Mid,38616,46298,Hybrid,"BigQuery, Excel, Looker, Power BI, Python, SQL, Tableau",2026-03-25
JOB0175,Data Analyst,IsCool,Paris,CDI,Mid,46235,52802,Remote,"Excel, GCP, Looker, Power BI, Python, SQL, Tableau, dbt",2026-02-04
JOB0176,Data Engineer,DataNova,Paris,CDI,Mid,49158,57342,Remote,"AWS, Airflow, BigQuery, Docker, SQL, Spark, dbt",2026-02-12
JOB0177,Data Engineer,FinanceLab,Paris,CDI,Mid,48439,59529,Remote,"AWS, GCP, Git, Looker, Python, SQL, dbt",2026-05-06
JOB0178,Data Engineer,MobilityX,Marseille,CDI,Junior,36252,46771,Remote,"Airflow, GCP, Python, SQL, Spark, dbt",2026-05-07
JOB0179,Data Scientist,Lyon Analytics,Paris,CDI,Mid,50005,58445,Hybrid,"Dataiku, SQL, Scikit-learn, Tableau",2026-01-09
JOB0180,Data Engineer,DataNova,Paris,Alternance,Mid,48961,59314,On-site,"AWS, Docker, GCP, Scikit-learn, dbt",2026-02-22
